"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
41,-2.052785924,-11.26099707,-8.563049853,-6.979472141,-5.513196481,-3.636363636,-14.60410557,-6.578221782,-9.626367174,-53.39833368
42,-2.052785924,-11.49560117,-8.62170088,-7.038123167,-5.571847507,-3.695014663,-14.8973607,-6.643571608,-9.611640861,-53.18022302
43,-1.994134897,-11.73020528,-8.797653959,-7.096774194,-5.630498534,-3.636363636,-15.19061584,-6.702070464,-9.556955626,-52.79237191
44,-1.994134897,-11.96480938,-8.914956012,-7.214076246,-5.630498534,-3.636363636,-15.60117302,-6.760941817,-9.50013261,-52.2898052
45,-1.935483871,-12.25806452,-9.032258065,-7.272727273,-5.68914956,-3.636363636,-15.95307918,-6.804022718,-9.409757704,-51.68955257
46,-1.876832845,-12.55131965,-9.208211144,-7.331378299,-5.68914956,-3.57771261,-16.30498534,-6.838754052,-9.316375773,-51.07392018
47,-1.818181818,-12.78592375,-9.325513196,-7.390029326,-5.68914956,-3.519061584,-16.59824047,-6.865202921,-9.228040795,-50.48862794
48,-1.759530792,-12.96187683,-9.442815249,-7.448680352,-5.68914956,-3.519061584,-16.83284457,-6.886873534,-9.149584767,-49.95525247
49,-1.700879765,-13.19648094,-9.501466276,-7.448680352,-5.68914956,-3.460410557,-17.00879765,-6.906414333,-9.078186508,-49.46367376
50,-1.642228739,-13.31378299,-9.618768328,-7.507331378,-5.68914956,-3.460410557,-17.18475073,-6.925882007,-9.012729436,-49.00521693
51,-1.583577713,-13.48973607,-9.736070381,-7.565982405,-5.68914956,-3.401759531,-17.36070381,-6.945634538,-8.951060767,-48.56788065
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [0, 2] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.994134897,-10.4398827,-8.093841642,-6.686217009,-5.337243402,-3.57771261,-13.25513196,-6.339380157,-9.726432292,-52.5409747
26,-2.11143695,-10.4398827,-8.152492669,-6.744868035,-5.454545455,-3.636363636,-13.25513196,-6.40014691,-9.82810955,-53.08851972
